YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
Pabineau River,CNNB,     360000.,1360, 0.0000000,2700,    0.0023700,5500
Paronen,FNLD,    1500000.,1000, 0.0000000,0,    0.0000000,0
Parys Mountain,GRBR,   33700000.,1060, 0.0000000,0,    0.0000000,0
Pater,CNON,    2090000.,1710, 0.0000000,0,    0.0000000,0
Paymogo,SPAN,     822000.,2400, 0.0001000,700,    0.0157000,1250
Pecos,USNM,    2090000.,900, 0.0003400,4600,    0.0130200,12500
Pelican,USWI,    2700000.,1000, 0.0000000,0,    0.0000000,4500
Penn,USCA,     884000.,4240, 0.0002380,60,    0.0075000,1140
Penobscot,USME,    1000000.,1250, 0.0000000,500,    0.0018900,5500
Perrunal,SWDN,   12000000.,350, 0.0000000,160,    0.0000000,400
Phelps Dodge,CNQU,    1540000.,1100, 0.0000000,0,    0.0017000,4900
Pilleys Island,CNNF,     374000.,1700, 0.0000000,0,    0.0000000,0
Pine Bay,CNMN,    1360000.,1300, 0.0000000,0,    0.0000000,0
Piray,PLPN,     150000.,2000, 0.0000000,0,    0.0000000,0
Point Leamington,CNNF,   16562000.,500, 0.0000000,0,    0.0000000,2000
Poirier,CNQU,    6400000.,1620, 0.0000000,0,    0.0008500,1760
Port Aux Moines,FRNC,    2500000.,710, 0.0000000,2100,    0.0115000,9500
Pot Lake,CNMN,     102000.,1430, 0.0000380,0,    0.0018900,4500
Price,CNBC,      93260.,1100, 0.0001070,1000,    0.0041000,9400
Pyhasalmi,FNLD,   31100000.,750, 0.0000200,60,    0.0017000,2430
Que River,AUTS,    6000000.,400, 0.0003400,7000,    0.0171000,12500
Quebec Manitou,CNQU,     692000.,1260, 0.0003400,0,    0.0171000,0
Radiore E,CNQU,     139000.,2000, 0.0000340,0,    0.0006900,1000
Rail Lake,CNMN,     295000.,3000, 0.0000000,0,    0.0000000,700
Rakkejaur,SWDN,   15400000.,300, 0.0001000,0,    0.0045000,2300
Rambler-Ming,CNNF,    4468000.,1710, 0.0001030,0,    0.0009900,140
Ramsey,CNSK,     710000.,2040, 0.0000000,0,    0.0000000,1600
Ravliden,SWDN,     888000.,490, 0.0000300,650,    0.0089000,4120
Ravlidmyran,SWDN,    3878000.,1010, 0.0000900,0,    0.0034000,3450
Red Wing,CNBC,     181000.,2000, 0.0000000,0,    0.0000000,0
Reed Lake,CNMN,    1360000.,2090, 0.0000000,0,    0.0000000,0
Renstrom,SWDN,    3630000.,1100, 0.0004000,1800,    0.0184000,7900
Rieppe,NRWY,    3000000.,500, 0.0000000,0,    0.0000000,2000
Rio Tinto,SPAN,  231200000.,760, 0.0000220,430,    0.0004070,970
Rocky Turn,CNNB,     255000.,300, 0.0001700,1500,    0.0079000,7000
